run_id,timestamp,rank,candidate,composite_score,composite_hard,composite_soft,gate_passed,parse_success_rate,schema_hit_rate,entity_type_valid_rate,relation_type_valid_rate,endpoint_valid_rate,duplicate_entity_rate,noise_entity_rate,output_stability,audit_entity_recall,audit_entity_precision,audit_relation_recall,sample_count,success_count
2026-04-18T182652,2026-04-18T18:26:52,1,auto_tuned,0.8973,,,,1.0000,1.0000,1.0000,1.0000,0.9091,0.0000,0.0000,0.6289,0.5893,,0.0000,5,5
2026-04-18T182652,2026-04-18T18:26:52,2,default,0.8965,,,,1.0000,1.0000,1.0000,1.0000,0.9070,0.0000,0.0000,0.6730,0.5357,,0.0000,5,5
2026-04-18T182652,2026-04-18T18:26:52,3,schema_fewshot,0.8890,,,,1.0000,1.0000,1.0000,1.0000,0.8163,0.0000,0.0000,0.6711,0.6607,,0.0000,5,5
2026-04-18T182652,2026-04-18T18:26:52,4,schema_aware,0.8795,,,,1.0000,1.0000,1.0000,1.0000,0.7500,0.0000,0.0000,0.6793,0.6607,,0.0000,5,5
2026-04-18T232757,2026-04-18T23:27:57,1,default,0.9077,,,,1.0000,1.0000,1.0000,1.0000,0.9070,0.0000,0.0000,0.6730,0.5357,0.4917,0.0000,5,5
2026-04-18T232757,2026-04-18T23:27:57,2,auto_tuned,0.9055,,,,1.0000,1.0000,1.0000,1.0000,0.9091,0.0000,0.0000,0.6289,0.5893,0.4583,0.0000,5,5
2026-04-18T232757,2026-04-18T23:27:57,3,schema_fewshot,0.8996,,,,1.0000,1.0000,1.0000,1.0000,0.8163,0.0000,0.0000,0.6711,0.6607,0.5417,0.0000,5,5
2026-04-18T232757,2026-04-18T23:27:57,4,schema_aware,0.8880,,,,1.0000,1.0000,1.0000,1.0000,0.7500,0.0000,0.0000,0.6793,0.6607,0.5000,0.0000,5,5
2026-04-18T233204,2026-04-18T23:32:04,1,default,0.9077,,,,1.0000,1.0000,1.0000,1.0000,0.9070,0.0000,0.0000,0.6730,0.5357,0.4917,0.0000,5,5
2026-04-18T233204,2026-04-18T23:32:04,2,auto_tuned,0.9055,,,,1.0000,1.0000,1.0000,1.0000,0.9091,0.0000,0.0000,0.6289,0.5893,0.4583,0.0000,5,5
2026-04-18T233204,2026-04-18T23:32:04,3,schema_fewshot,0.8996,,,,1.0000,1.0000,1.0000,1.0000,0.8163,0.0000,0.0000,0.6711,0.6607,0.5417,0.0000,5,5
2026-04-18T233204,2026-04-18T23:32:04,4,schema_aware,0.8880,,,,1.0000,1.0000,1.0000,1.0000,0.7500,0.0000,0.0000,0.6793,0.6607,0.5000,0.0000,5,5
2026-04-19T000248,2026-04-19T00:02:48,1,schema_fewshot,0.8996,0.9676,0.5144,False,1.0000,1.0000,1.0000,1.0000,0.8163,0.0000,0.0000,0.6711,0.6607,0.5417,0.0000,5,5
2026-04-19T000248,2026-04-19T00:02:48,2,schema_aware,0.8880,0.9559,0.5032,False,1.0000,1.0000,1.0000,1.0000,0.7500,0.0000,0.0000,0.6793,0.6607,0.5000,0.0000,5,5
2026-04-19T000248,2026-04-19T00:02:48,3,default,0.9077,0.9836,0.4775,False,1.0000,1.0000,1.0000,1.0000,0.9070,0.0000,0.0000,0.6730,0.5357,0.4917,0.0000,5,5
2026-04-19T000248,2026-04-19T00:02:48,4,auto_tuned,0.9055,0.9840,0.4606,False,1.0000,1.0000,1.0000,1.0000,0.9091,0.0000,0.0000,0.6289,0.5893,0.4583,0.0000,5,5
